,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  03/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.07,29.91,35.56,77.68,143.87,115.5,111.5,91.99,42.66,57.07,191.24,139.74,126.32,125.24,127.54,101.75,50.67,272.23,22.84,23.81,32.11,47.11
Maximum Price,65.0,51.0,67.0,133.0,178.0,162.0,155.0,145.0,57.0,76.0,257.0,258.0,220.0,200.0,244.0,170.0,100.0,558.0,34.0,49.0,60.0,140.0
Minimum Price,26.0,21.0,26.0,55.0,75.0,70.0,80.0,66.0,37.0,40.0,115.0,110.0,93.0,100.0,108.0,83.0,35.0,154.0,9.0,11.0,12.0,16.0
Modal Price,40.0,28.0,32.0,80.0,150.0,110.0,110.0,90.0,42.0,60.0,200.0,130.0,125.0,120.0,117.0,100.0,50.0,275.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,45.0,,67.0,81.0,153.0,136.0,120.0,95.0,52.0,73.0,,176.0,220.0,,141.0,125.0,75.0,325.0,20.0,40.0,60.0,77.0
Andhra Pradesh,52.2,40.8,44.2,74.4,150.6,121.2,115.0,99.0,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.0,325.0,21.2,31.4,29.8,29.0
Assam,41.19,31.5,35.88,75.19,130.63,102.15,109.38,89.31,44.5,70.69,226.0,145.38,137.17,138.13,153.38,111.78,56.81,263.19,14.38,21.06,35.56,80.87
Bihar,37.76,26.32,32.32,74.56,138.68,113.44,109.12,79.52,43.16,56.0,184.64,138.72,124.04,128.04,169.71,106.2,47.76,280.84,22.8,19.6,31.72,58.32
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,36.0
Chhattisgarh,39.14,35.29,37.86,76.71,141.57,104.43,106.71,85.14,42.14,60.43,192.5,142.14,125.0,127.0,147.33,116.43,49.57,296.0,24.57,24.57,33.14,42.57
Delhi,39.0,28.0,31.0,82.0,162.0,130.0,115.0,91.0,42.0,53.0,218.0,144.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
DNH and DD,44.67,39.67,44.67,82.0,155.33,132.67,121.0,97.0,42.0,64.0,210.67,155.0,140.67,130.33,132.67,101.33,68.33,350.0,27.0,21.0,33.33,40.67
Gujarat,39.33,32.67,39.67,76.0,130.0,116.33,111.0,95.33,42.67,57.67,191.0,138.0,126.67,135.67,124.0,111.0,48.67,286.33,15.0,26.0,23.33,70.0
Haryana,40.5,26.0,33.0,68.0,131.25,102.0,99.25,94.0,42.25,59.25,188.75,143.5,133.0,128.0,158.75,114.25,45.5,237.0,25.75,17.25,25.0,69.75
Himachal Pradesh,37.25,21.0,32.25,77.0,144.0,121.08,112.67,87.0,44.55,54.45,219.5,166.75,140.25,134.0,152.4,121.5,46.73,261.36,27.55,30.83,38.5,50.75
Jammu and Kashmir,40.0,39.0,57.0,95.0,120.0,118.0,120.0,103.0,50.0,45.0,243.0,155.0,146.0,135.0,198.0,,49.0,355.0,28.0,30.0,40.0,67.0
Jharkhand,37.82,29.5,34.0,76.36,141.73,106.64,105.18,80.55,43.64,57.3,188.67,136.36,120.45,130.8,160.33,105.8,48.09,298.7,22.0,19.09,27.55,55.64
